epoch,height,height_time_utc,stage,parent_participants,parent_confirmation_weight,parent_zero_confirmation_count,kimi_participants,kimi_confirmation_weight,kimi_zero_confirmation_count
265,4090370,2026-05-15T23:22:59.307709486Z,epoch_start,51,917306,0,20,640858,0
265,4095684,2026-05-16T06:55:12.342855969Z,cpoc_0_generation_start,51,917306,0,20,640858,0
265,4095963,2026-05-16T07:18:59.634470073Z,cpoc_0_after_confirmed,51,739681,8,20,487205,5
265,4098881,2026-05-16T11:26:12.807058766Z,cpoc_1_generation_start,51,739681,8,20,487205,5
265,4099160,2026-05-16T11:49:56.983231496Z,cpoc_1_after_confirmed,51,720517,8,20,469669,5
265,4102892,2026-05-16T17:05:28.860049742Z,cpoc_2_generation_start,51,720517,8,20,469669,5
265,4103171,2026-05-16T17:29:07.824615184Z,cpoc_2_after_confirmed,51,609918,10,20,375972,6
265,4105760,2026-05-16T21:04:58.191657980Z,epoch_last,51,609918,10,20,375972,6
266,4105761,2026-05-16T21:05:03.752208771Z,epoch_start,46,393991,1,8,115164,0
266,4115096,2026-05-17T10:17:47.361110040Z,cpoc_0_generation_start,46,393991,1,8,115164,0
266,4115375,2026-05-17T10:41:34.397959828Z,cpoc_0_after_confirmed,46,376221,7,8,115022,0
266,4116986,2026-05-17T12:58:08.366589465Z,cpoc_1_generation_start,46,376221,7,8,115022,0
266,4117265,2026-05-17T13:21:54.058748195Z,cpoc_1_after_confirmed,46,371996,8,8,113940,0
266,4118105,2026-05-17T14:33:05.401916199Z,cpoc_2_generation_start,46,371996,8,8,113940,0
266,4118384,2026-05-17T14:56:50.289047234Z,cpoc_2_after_confirmed,46,369530,8,8,111574,0
266,4121151,2026-05-17T18:51:39.177841027Z,epoch_last,46,369530,8,8,111574,0
