epoch,address,reason_class,reason_detail,reward_gnk,earned_gnk,inference_count,missed_requests,validated_inferences,invalidated_inferences,confirmation_weight,reputation,poc_snapshot_found,claimed,in_final_group,excluded_from_final_group
265,gonka1qnj39ysxpzknvrr5dw9rdl7cx5q7dpkwerryrs,confirmation_poc_zero_weight,confirmation_weight=0; reputation=36; poc_validation_snapshot found=false; claimed=false; no recorded inference/validation work; earned_coins=0,0.000000,0.000000,0,0,0,0,0,36,no,false,yes,no
265,gonka1qu9mna5xlvlnw9455ygtjq92wuzkzm237w8l08,excluded_from_final_group,not in final validation_weights; poc_validation_snapshot found=false; claimed=false; no recorded inference/validation work; earned_coins=0,0.000000,0.000000,0,0,0,0,,,no,false,no,yes
265,gonka1pllyukkeymx3hfd9mts3pryr9y6efs9eshty87,excluded_from_final_group,not in final validation_weights; poc_validation_snapshot found=false; claimed=false; no recorded inference/validation work; earned_coins=0,0.000000,0.000000,0,0,0,0,,,no,false,no,yes
265,gonka1zsvl7ujlc8z3a35v2q6e3nml7ftyk23v76jqgl,confirmation_poc_zero_weight,confirmation_weight=0; reputation=100; poc_validation_snapshot found=false; claimed=false; missed_requests=562; earned_coins=0,0.000000,0.000000,974,562,974,0,0,100,no,false,yes,no
265,gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d,confirmation_poc_zero_weight,confirmation_weight=0; reputation=0; poc_validation_snapshot found=false; claimed=false; missed_requests=82; earned_coins=0,0.000000,0.000000,7222,82,7222,0,0,0,no,false,yes,no
265,gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,confirmation_poc_zero_weight,confirmation_weight=0; reputation=88; poc_validation_snapshot found=false; claimed=false; missed_requests=42; invalidated_inferences=8; earned_coins=0,0.000000,0.000000,5394,42,5386,8,0,88,no,false,yes,no
265,gonka187tn9y92ur6tu0zf69u94hwl0q77m47y0k36hv,confirmation_poc_zero_weight,confirmation_weight=0; reputation=100; poc_validation_snapshot found=false; claimed=false; missed_requests=70; invalidated_inferences=39; earned_coins=0,0.000000,0.000000,3177,70,3138,39,0,100,no,false,yes,no
265,gonka1famtxh54kad6ylwtm60j6d7h6unpc08d4vdqnk,missed_or_invalidated_work,confirmation_weight=1347; reputation=100; poc_validation_snapshot found=false; claimed=false; missed_requests=94; invalidated_inferences=7; earned_coins=0,0.000000,0.000000,22976,94,22969,7,1347,100,no,false,yes,no
265,gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np,confirmation_poc_zero_weight,confirmation_weight=0; reputation=0; poc_validation_snapshot found=false; claimed=false; missed_requests=55; earned_coins=0,0.000000,0.000000,2054,55,2054,0,0,0,no,false,yes,no
265,gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws,confirmation_poc_zero_weight,confirmation_weight=0; reputation=23; poc_validation_snapshot found=false; claimed=false; missed_requests=42; earned_coins=0,0.000000,0.000000,3193,42,3193,0,0,23,no,false,yes,no
265,gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,confirmation_poc_zero_weight,confirmation_weight=0; reputation=56; poc_validation_snapshot found=false; claimed=false; missed_requests=68; earned_coins=0,0.000000,0.000000,6599,68,6600,0,0,56,no,false,yes,no
265,gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6,missed_or_invalidated_work,confirmation_weight=323; reputation=16; poc_validation_snapshot found=false; claimed=false; missed_requests=12; invalidated_inferences=7; earned_coins=0,0.000000,0.000000,45444,12,45437,7,323,16,no,false,yes,no
265,gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww,missed_or_invalidated_work,confirmation_weight=236; reputation=0; poc_validation_snapshot found=false; claimed=false; missed_requests=3; earned_coins=0,0.000000,0.000000,212,3,212,0,236,0,no,false,yes,no
265,gonka1myu058axjs62mc3e7na9krwvqpfl9z3gtcw9es,confirmation_poc_zero_weight,confirmation_weight=0; reputation=100; poc_validation_snapshot found=false; claimed=false; missed_requests=5; earned_coins=0,0.000000,0.000000,2856,5,2856,0,0,100,no,false,yes,no
265,gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0,confirmation_poc_zero_weight,confirmation_weight=0; reputation=1; poc_validation_snapshot found=false; claimed=false; missed_requests=51; earned_coins=0,0.000000,0.000000,3360,51,3360,0,0,1,no,false,yes,no
265,gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,missed_or_invalidated_work,confirmation_weight=2363; reputation=100; poc_validation_snapshot found=false; claimed=false; missed_requests=24; earned_coins=0,0.000000,0.000000,2703,24,2703,0,2363,100,no,false,yes,no
266,gonka1qnj39ysxpzknvrr5dw9rdl7cx5q7dpkwerryrs,confirmation_poc_zero_weight,confirmation_weight=0; reputation=39; poc_validation_snapshot found=false; claimed=false; missed_requests=12; earned_coins=0,0.000000,0.000000,8,12,8,0,0,39,no,false,yes,no
266,gonka1zsvl7ujlc8z3a35v2q6e3nml7ftyk23v76jqgl,excluded_from_final_group,not in final validation_weights; poc_validation_snapshot found=false; claimed=false; no recorded inference/validation work; earned_coins=0,0.000000,0.000000,0,0,0,0,,,no,false,no,yes
266,gonka19f9hkpmjaldncsfly4j63sy932y8hughn4l3d8,excluded_from_final_group,not in final validation_weights; poc_validation_snapshot found=false; claimed=false; no recorded inference/validation work; earned_coins=0,0.000000,0.000000,0,0,0,0,,,no,false,no,yes
266,gonka187tn9y92ur6tu0zf69u94hwl0q77m47y0k36hv,confirmation_poc_zero_weight,confirmation_weight=0; reputation=100; poc_validation_snapshot found=false; claimed=false; missed_requests=16; earned_coins=0,0.000000,0.000000,21,16,21,0,0,100,no,false,yes,no
266,gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,confirmation_poc_zero_weight,confirmation_weight=0; reputation=100; poc_validation_snapshot found=false; claimed=false; earned_coins=0,0.000000,0.000000,5,0,5,0,0,100,no,false,yes,no
266,gonka1famtxh54kad6ylwtm60j6d7h6unpc08d4vdqnk,confirmation_poc_zero_weight,confirmation_weight=0; reputation=100; poc_validation_snapshot found=false; claimed=false; no recorded inference/validation work; earned_coins=0,0.000000,0.000000,0,0,0,0,0,100,no,false,yes,no
266,gonka13a4v8gxxjav5t4xq5y9cv9d8rfnvkjfw5adqz3,confirmation_poc_zero_weight,confirmation_weight=0; reputation=0; poc_validation_snapshot found=false; claimed=false; missed_requests=13; earned_coins=0,0.000000,0.000000,26,13,26,0,0,0,no,false,yes,no
